listing_id,reviews_total,reviews_last_365d
35377394,25,0
35403153,332,46
35420803,157,9
35428201,61,3
35495687,9,3
35496535,237,24
35511310,19,1
35517765,325,38
35518584,222,38
35566367,55,8
35573202,260,51
35579703,40,3
35604624,7,0
35611753,160,23
35648866,7,2
35681792,406,53
35731377,94,16
35743481,269,45
35765755,53,1
35767803,178,0
35769538,2,0
35803293,21,0
35804189,289,47
35875563,7,7
35880364,26,3
35926772,2,0
35927069,1,0
35931987,2,0
35945631,104,10
35950191,92,17
35995054,33,2
36032618,128,10
36037370,124,5
36042124,19,8
36067428,89,10
36141541,37,0
36143654,34,8
36175666,116,0
36179661,41,2
36184740,115,3
36199994,4,0
36200479,8,0
36230130,38,4
36230632,12,1
36270543,270,33
36321241,122,23
36351917,69,2
36537053,123,30
36565054,320,56
36603379,524,69
36603454,878,136
36631415,67,5
36631488,9,3
36638326,6,0
36638765,54,8
36669561,279,56
36711170,244,43
36727196,142,3
36729228,230,42
36804964,60,6
36808735,238,30
36828964,55,0
36832082,296,61
36835843,21,3
36870884,236,37
36871691,203,23
36912569,174,26
36912962,66,12
37053533,139,23
37056214,40,0
37091430,416,81
37182856,131,42
37248792,2,0
37273935,133,44
37281104,55,0
37283545,16,1
37300218,405,61
37325675,106,31
37326412,131,37
37371164,133,11
37371794,19,18
37397842,264,35
37417133,46,2
37454958,14,1
37458664,139,24
37521255,62,0
37551145,13,3
37570453,18,0
37571365,22,2
37571608,18,4
37682233,14,0
37711825,107,6
37714454,19,2
37721986,15,1
37752023,22,4
37784682,121,37
37833328,1,0
37853442,156,22
37866160,30,3
37913525,66,27
37942661,218,42
37967120,122,24
38021812,23,0
38023244,266,33
38029850,28,0
38044470,82,0
38045144,11,0
38066904,47,0
38087699,283,44
38099565,193,43
38133731,8,1
38157331,15,3
38157364,54,19
38158030,208,28
38161704,225,30
38189582,2,2
38207510,51,14
38315882,264,41
38352612,60,10
38377878,250,31
38405999,232,34
38406437,22,0
38426699,23,5
38453885,110,12
38485286,1,0
38521406,66,10
38540686,70,24
38542047,173,12
38556018,16,0
38556679,32,3
38582176,21,1
38604801,288,45
38615966,38,0
38675378,3,1
38675544,234,46
38702660,194,57
38706692,125,20
38733447,178,45
38750112,205,15
38754120,90,14
38784689,73,1
38784903,34,4
38800924,121,6
38826350,10,4
38842498,158,20
38896659,1,0
38905823,240,27
38909140,223,33
38912057,145,12
38924654,224,26
38950182,19,5
38976168,7,1
39028448,244,43
