listing_id,reviews_total,reviews_last_365d
3576160,114,0
3581153,33,0
3581652,5,0
3585309,14,0
3585452,359,4
3585974,17,0
3591107,9,0
3593821,1,0
3594408,2,0
3600961,5,0
3603134,21,0
3605524,138,0
3611620,13,0
3616001,6,0
3616173,116,1
3619399,3,0
3624387,29,0
3624653,10,0
3624952,2,0
3625870,131,25
3626426,11,1
3627326,59,35
3628190,11,0
3629580,3,0
3637029,17,0
3641819,22,0
3642278,4,0
3642801,34,0
3644017,39,0
3645284,22,2
3646059,35,0
3652230,70,0
3654510,13,0
3655007,12,0
3659544,427,35
3662795,30,0
3663984,15,2
3666709,13,0
3670659,28,5
3677436,7,0
3677769,117,0
3678796,249,0
3678829,27,1
3683241,2,0
3684144,27,0
3685433,7,0
3685704,296,18
3686972,35,0
3687172,20,0
3687227,3,0
3688197,11,0
3689140,274,4
3692566,35,0
3694441,6,0
3696746,103,0
3700364,59,0
3701708,2,0
3710162,5,0
3710230,15,0
3710685,96,1
3715638,323,3
3718539,2,0
3725902,9,0
3727816,2,0
3735483,41,0
3738529,7,0
3738815,17,1
3741728,121,0
3743048,223,1
3747107,3,0
3747392,7,0
3749140,59,3
3749971,94,0
3755474,7,0
3757178,16,0
3758296,28,0
3760029,165,0
3760824,39,1
3765095,9,1
3767156,303,4
3767801,4,0
3769052,88,0
3775978,10,0
3783016,23,0
3785438,21,2
3789758,1,0
3791244,28,1
3791325,40,0
3793161,13,0
3797183,1,0
3798874,4,0
3803622,11,0
3808358,1,0
3817666,16,1
3818298,22,0
3819656,2,0
3825437,5,0
3827442,8,0
3833538,2,0
3835681,243,30
3836180,5,0
3838375,121,1
3839717,5,1
3840324,18,0
3841033,1,0
3841048,7,0
3848105,23,1
3850493,236,23
3851911,163,24
3852261,108,1
3852988,32,2
3857180,11,0
3857863,156,0
3861713,3,0
3866888,19,1
3868100,21,0
3874870,19,0
3876850,6,0
3880588,20,0
3882682,27,0
3883020,49,0
3884105,13,0
3889997,10,3
3891031,11,0
3891370,3,0
3895455,3,0
3898329,6,0
3902156,27,5
3902791,5,0
3908094,5,0
3913635,93,0
3915042,2,0
3923128,10,3
3929669,11,0
3930149,10,0
3933059,3,0
3933382,2,0
3939086,13,0
3939535,72,0
3942731,7,0
3945636,5,0
3945796,13,0
3946018,68,0
3952093,97,0
3962389,12,0
3962586,1,0
3963137,7,0
3963635,74,0
3968434,47,0
3968610,40,0
3979360,5,0
3979611,30,0
3985673,19,0
3987571,449,30
3987599,25,0
3989564,401,29
3993388,199,0
3993553,2,0
3998977,2,0
3999228,16,0
4000579,3,0
4003515,46,0
4006264,1,0
4007277,30,0
4010865,3,0
4013668,124,0
4016121,1,0
4016142,54,5
4016173,43,3
4017226,1,0
4020425,26,0
4024582,97,1
4025329,190,15
4026150,255,1
4031463,125,0
4033422,57,0
4033444,204,0
4033521,223,0
4037379,9,0
4037522,16,0
4038794,29,0
4041189,2,0
4041383,5,0
4044625,7,0
4044906,3,0
4047638,27,0
4047815,23,0
4051643,1,0
4053249,13,0
4054332,41,0
4055732,1,0
4058515,8,0
4058701,3,0
4059620,325,1
4059794,2,0
4060446,80,4
4060993,5,0
4067820,152,0
4069228,63,0
4069341,34,0
4070025,192,1
4074248,31,0
4076084,2,0
4077427,2,0
4081707,10,0
4084603,1,0
